产品名称,最新料体成本_元
观梨persely三修精华小样10ml, 3.59 
观梨persely白水鉴心护手霜, 2.55 
观梨persely三修精华30ml 2.0, 12.14 
观梨Persrly三修舒缓精萃水120ml, 10.73 
观梨persely三修清爽版乳液100ML, 15.96 
观梨舒润水油喷雾60ML, 9.41 
观梨persely精油皂, 4.79 
观梨精油皂起泡网, 0.38 
观梨persely三修精华小样1.5ml, 0.58 
观梨persely三修舒缓精粹水20ML, 3.76 
观梨舒缓面膜单片, 1.66 
观梨persely三修滋润版乳液100ML, 15.96 
观梨persely三修滋润版乳液20ml, 4.83 
观梨persely三修舒缓清润面霜10g, 3.58 
观梨persely修护赋元喷雾99ml, 5.28 
观梨persely三修清爽版乳液20ML, 4.83 
观梨身体乳, 6.45 
观梨生活轻盈蓬松洗发水-白水鉴心, 17.70 
观梨persely 春树暮云护手霜, 2.56 
观梨不眠青霜香片, 5.28 
观梨persely三修舒缓清润面霜1.5g, 0.53 
观梨persely三修舒缓清润面霜50ML, 15.38 
观梨Persely舒润修护B5精华30ml, 5.48 
观梨雨伞, 13.96 
观梨杯子, 6.28 
观梨persely凉荷手袋, 14.74 
观梨舒缓面膜盒装, 9.49 
观梨生活净润舒缓沐浴露-白水鉴心, 18.19 
观梨Persely春露沉檀卸妆膏100g 2.0版, 1.45 
观梨persely 洁面慕斯, 8.78 
观梨莲花净润洁面乳120g, 11.84 
观梨时序织木香片, 5.28 
观梨澈风抚梦无火香薰, 41.14 
观梨双旦礼盒卡片, 3.12 
观梨双旦礼盒, 23.36 
观梨双旦礼盒毛毯, 51.59 
观梨persely三修舒缓精华30ML 1.0, 12.14 
观梨化妆水120ml, 10.73 
观梨Persely三抗御时光润面膜5g*20, 27.69 
观梨persely化妆水20ml, 3.76 
直抒胸臆香薰蜡烛, 15.46 
敏敏克星棒球帽, 20.68 
黔茫坠露香薰蜡烛, 15.46 
观梨persely水晶袋, 0.76 
知广沙棘双梨膏植物饮料8g*14, 33.00 
知广灵芝双参膏植物饮料8g*14, 34.65 
观梨新版水泵头, 1.05 
观梨双旦礼盒卡片, 3.52 
观梨新版水乳盖子, 1.43 
观梨乳液泵头, 1.05 
观梨新版乳液泵头, 1.05 
观梨特护乳共创官, 2.46 